model_name,seed,item_id,phenomenon,prompt,question,options,option_names,shuffled_options,shuffled_option_names,option_numbering,cosine_sims,choice_probs_rounded,chosen_option
meta-llama/Llama-2-7b-hf,0,7,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 
Your answer:
",,The blue canary worked as a model at the show.,distractor_literal,The blue canary worked as a model at the show.,distractor_literal,D,0.2086,0.2086,distractor_literal
meta-llama/Llama-2-7b-hf,0,7,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ben was telling his friend about the fashion show that he attended. He said: ""This model was the blue canary at the show."" What did Ben mean? 
Your answer:
",,The model came to the show with her pet bird.,distractor_nonsequitut,The model wore a costume made of blue feathers.,distractor_plausibleliteral,E,0.09393,0.186,distractor_literal
meta-llama/Llama-2-7b-hf,0,8,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Your answer:
",,The queen cares about you from afar.,target,The queen has a lot of relatives.,distractor_nonsequitut,A,0.06165,0.1857,target
meta-llama/Llama-2-7b-hf,0,8,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Your answer:
",,People of the country love the pies that the queen bakes.,competitor,The queen cares about you from afar.,target,B,0.2242,0.2185,target
meta-llama/Llama-2-7b-hf,0,8,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Your answer:
",,Mary and her family are related to the queen.,distractor_plausibleliteral,People of the country love the pies that the queen bakes.,competitor,C,0.09705,0.1924,target
meta-llama/Llama-2-7b-hf,0,8,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Your answer:
",,The queen is an aunt of everyone living in the country.,distractor_literal,The queen is an aunt of everyone living in the country.,distractor_literal,D,0.1495,0.2028,target
meta-llama/Llama-2-7b-hf,0,8,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Mary said to her granddaughter: ""The queen is our nation's aunt."" What did Mary mean?
Your answer:
",,The queen has a lot of relatives.,distractor_nonsequitut,Mary and her family are related to the queen.,distractor_plausibleliteral,E,0.1394,0.2007,target
meta-llama/Llama-2-7b-hf,0,9,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Your answer:
",,It was a very romantic night.,target,It was a very romantic night.,target,A,0.02802,0.195,distractor_nonsequitut
meta-llama/Llama-2-7b-hf,0,9,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Your answer:
",,It was too dark to see any singers performing on the promenade.,competitor,There were a lot of musicians and singers performing on the promenade.,distractor_plausibleliteral,B,-0.005493,0.1886,distractor_nonsequitut
meta-llama/Llama-2-7b-hf,0,9,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Your answer:
",,There were a lot of musicians and singers performing on the promenade.,distractor_plausibleliteral,It was too dark to see any singers performing on the promenade.,competitor,C,0.04858,0.1991,distractor_nonsequitut
meta-llama/Llama-2-7b-hf,0,9,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Your answer:
",,He could hear the sun singing songs.,distractor_literal,He could hear the sun singing songs.,distractor_literal,D,0.0941,0.2084,distractor_nonsequitut
meta-llama/Llama-2-7b-hf,0,9,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Abby and Kyle were walking along the promenade one night, and they saw a couple smiling at each other. Abby noted: ""This sunset sings to the lovers."" What did Abby mean?
Your answer:
",,Abby wants to attend a concert with Kyle.,distractor_nonsequitut,Abby wants to attend a concert with Kyle.,distractor_nonsequitut,E,0.0961,0.2087,distractor_nonsequitut
meta-llama/Llama-2-7b-hf,0,10,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Your answer:
",,Jessica finished her talk successfully.,target,Jessica got interested in sailing.,distractor_plausibleliteral,A,0.03186,0.193,distractor_literal
meta-llama/Llama-2-7b-hf,0,10,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Your answer:
",,Jessica's talk was a disaster.,competitor,Jessica's talk was a disaster.,competitor,B,0.03082,0.1929,distractor_literal
meta-llama/Llama-2-7b-hf,0,10,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Your answer:
",,Jessica got interested in sailing.,distractor_plausibleliteral,Jessica finished the sailing race.,distractor_literal,C,0.10693,0.2081,distractor_literal
meta-llama/Llama-2-7b-hf,0,10,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Your answer:
",,Jessica finished the sailing race.,distractor_literal,Jessica was giving a talk about sailing.,distractor_nonsequitut,D,0.07227,0.201,distractor_literal
meta-llama/Llama-2-7b-hf,0,10,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jessica was giving a talk that her mom attended. After the talk, Jessica's mom called her husband and said: ""Jessica sailed towards the finish."" What did she mean?
Your answer:
",,Jessica was giving a talk about sailing.,distractor_nonsequitut,Jessica finished her talk successfully.,target,E,0.09064,0.2047,distractor_literal
meta-llama/Llama-2-7b-hf,0,11,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Your answer:
",,She can make her brothers do whatever she wishes.,target,Their daughter finally started to walk.,distractor_plausibleliteral,A,0.02039,0.1869,target
meta-llama/Llama-2-7b-hf,0,11,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Your answer:
",,Their daughter should be less aggressive towards her brothers.,competitor,She enjoys long walks with her brothers.,distractor_nonsequitut,B,0.0711,0.1965,target
meta-llama/Llama-2-7b-hf,0,11,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Your answer:
",,Their daughter finally started to walk.,distractor_plausibleliteral,Their daughter should be less aggressive towards her brothers.,competitor,C,0.1265,0.2078,target
meta-llama/Llama-2-7b-hf,0,11,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Your answer:
",,She is not paying attention when walking and often steps on her little brothers by accident.,distractor_literal,She is not paying attention when walking and often steps on her little brothers by accident.,distractor_literal,D,0.08746,0.2,target
meta-llama/Llama-2-7b-hf,0,11,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?
Your answer:
",,She enjoys long walks with her brothers.,distractor_nonsequitut,She can make her brothers do whatever she wishes.,target,E,0.1302,0.2085,target
meta-llama/Llama-2-7b-hf,0,12,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 
Your answer:
",,The newly hired person is good at manipulating many things at once.,target,The newly hired person dressed up as a clown.,competitor,A,0.1241,0.21,competitor
meta-llama/Llama-2-7b-hf,0,12,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 
Your answer:
",,The newly hired person dressed up as a clown.,competitor,The newly hired person has too many excuses for being late.,distractor_nonsequitut,B,0.0536,0.1957,competitor
meta-llama/Llama-2-7b-hf,0,12,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 
Your answer:
",,The newly hired person used to work in a circus show.,distractor_plausibleliteral,The newly hired person can toss and catch objects in the air.,distractor_literal,C,0.1201,0.2092,competitor
meta-llama/Llama-2-7b-hf,0,12,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 
Your answer:
",,The newly hired person can toss and catch objects in the air.,distractor_literal,The newly hired person is good at manipulating many things at once.,target,D,0.0748,0.2,competitor
meta-llama/Llama-2-7b-hf,0,12,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 
Your answer:
",,The newly hired person has too many excuses for being late.,distractor_nonsequitut,The newly hired person used to work in a circus show.,distractor_plausibleliteral,E,-0.001,0.1853,competitor
meta-llama/Llama-2-7b-hf,0,13,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?
Your answer:
",,The store was complete chaos.,target,The store was complete chaos.,target,A,0.04974,0.1934,distractor_literal
meta-llama/Llama-2-7b-hf,0,13,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?
Your answer:
",,The store that he went to sold some exotic pets.,competitor,The store was in a jungle.,distractor_literal,B,0.158,0.2155,distractor_literal
meta-llama/Llama-2-7b-hf,0,13,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?
Your answer:
",,There were a lot of tropical trees in that store.,distractor_plausibleliteral,There were a lot of tropical trees in that store.,distractor_plausibleliteral,C,0.016,0.1871,distractor_literal
meta-llama/Llama-2-7b-hf,0,13,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?
Your answer:
",,The store was in a jungle.,distractor_literal,There were a lot of mosquitoes in that store.,distractor_nonsequitut,D,0.05502,0.1945,distractor_literal
meta-llama/Llama-2-7b-hf,0,13,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?
Your answer:
",,There were a lot of mosquitoes in that store.,distractor_nonsequitut,The store that he went to sold some exotic pets.,competitor,E,0.1295,0.2096,distractor_literal
meta-llama/Llama-2-7b-hf,0,14,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?
Your answer:
",,The dancers flitted around the stage.,target,Butterflies were dancing on the stage.,distractor_literal,A,0.1153,0.2072,distractor_plausibleliteral
meta-llama/Llama-2-7b-hf,0,14,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?
Your answer:
",,There were too many dancers in this show.,competitor,The dancers portrayed butterflies in the show.,distractor_plausibleliteral,B,0.122,0.2085,distractor_plausibleliteral
meta-llama/Llama-2-7b-hf,0,14,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?
Your answer:
",,The dancers portrayed butterflies in the show.,distractor_plausibleliteral,There were too many dancers in this show.,competitor,C,0.07745,0.1993,distractor_plausibleliteral
meta-llama/Llama-2-7b-hf,0,14,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?
Your answer:
",,Butterflies were dancing on the stage.,distractor_literal,She did not see any dancers in the show.,distractor_nonsequitut,D,0.07886,0.1997,distractor_plausibleliteral
meta-llama/Llama-2-7b-hf,0,14,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?
Your answer:
",,She did not see any dancers in the show.,distractor_nonsequitut,The dancers flitted around the stage.,target,E,0.003311,0.185,distractor_plausibleliteral
meta-llama/Llama-2-7b-hf,0,15,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?
Your answer:
",,Sally does not show any emotions.,target,Sally's hands are always cold.,distractor_nonsequitut,A,0.03867,0.1976,target
meta-llama/Llama-2-7b-hf,0,15,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?
Your answer:
",,Sally is very emotional and cries often.,competitor,Sally is very emotional and cries often.,competitor,B,0.01405,0.1927,target
meta-llama/Llama-2-7b-hf,0,15,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?
Your answer:
",,Sally is coming down with a cold.,distractor_plausibleliteral,Sally is an ice sculpture.,distractor_literal,C,0.0684,0.2037,target
meta-llama/Llama-2-7b-hf,0,15,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?
Your answer:
",,Sally is an ice sculpture.,distractor_literal,Sally is coming down with a cold.,distractor_plausibleliteral,D,0.006786,0.1915,target
meta-llama/Llama-2-7b-hf,0,15,metaphor,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?
Your answer:
",,Sally's hands are always cold.,distractor_nonsequitut,Sally does not show any emotions.,target,E,0.11957,0.2144,target
