model_name,temperature,phenomenon,decoding_scheme,question,seed,item_id,prompt,response,response_option
text-davinci-002,0.9,metaphor,greedy,,1,11,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Jody and Mark were discussing their daughter's behavior. Mark said: ""She is walking all over her brothers."" What did Mark mean?


Your answer:
",Mark is saying that their daughter bossy and is constantly demanding attention from her brothers.,target
text-davinci-002,0.9,metaphor,greedy,,1,12,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

During a business meeting, the general manager of the company said to the financial manager: ""The new accountant that you hired is a juggler."" What did the general manager mean? 


Your answer:
","
The general manager was trying to say that the new accountant was not doing her job well.",target
text-davinci-002,0.9,metaphor,greedy,,1,13,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Ken was telling his friend about his shopping experience on Black Friday. Ken said: ""The store that I went to was a jungle."" What did Ken mean?


Your answer:
","
Ken found the store to be chaotic and overwhelming.",target
text-davinci-002,0.9,metaphor,greedy,,1,14,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Janet was telling her friend about the show that she saw last night. Janet said: ""The dancers were butterflies."" What did Janet mean?


Your answer:
","
Janet is trying to say that the dancers were very graceful and light on their feet.",target
text-davinci-002,0.9,metaphor,greedy,,1,15,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Caitlyn was telling her husband about her new co-worker. Caitlyn said: ""Sally is a block of ice."" What did she mean?


Your answer:
","
Caitlyn is saying that Sally is unfriendly and unapproachable.",target
text-davinci-002,0.9,metaphor,greedy,,1,16,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Robert and his wife are discussing their neighbor. Robert said: ""Our neighbor is a sheep."" What did Robert mean?  


Your answer:
","
Robert means that their neighbor is a follower who does not think for themselves.",target
text-davinci-002,0.9,metaphor,greedy,,1,17,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Lucy told her teacher: ""The book that you gave me has more holes in it than Swiss cheese."" What did Lucy mean?


Your answer:
","
Lucy is trying to say that the book her teacher gave her is full of holes, or is not very helpful.",target
text-davinci-002,0.9,metaphor,greedy,,1,18,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

The teacher told Sam: ""You have too much on your plate."" What did the teacher mean?


Your answer:
","
The teacher meant that Sam had too much going on and needed to focus on one thing at a time.",target
text-davinci-002,0.9,metaphor,greedy,,1,19,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

Melissa was discussing a new sales manager, who was hired a couple of days ago: ""She is a babe in the woods."" What did Melissa mean?


Your answer:
","
Melissa means that the new sales manager is inexperienced and does not know what she is doing.",target
text-davinci-002,0.9,metaphor,greedy,,1,20,"You will read a short story that describes an everyday situation. Your task is to interpret what the character in the story is trying to convey.

John told his fiance: ""You are the tomato sauce to my pasta."" What did John mean?


Your answer:
","
The character in the story is trying to say that the person they are engaged to is a perfect match for them, and that they cannot imagine their life without them.",target
