model_name,phenomenon,metric,dependent_variable
gpt-3.5-turbo-instruct,indirect_speech,free,0.83
text-davinci-002,indirect_speech,free,0.55
google/flan-t5-xl,irony,free,0.08
gpt-3.5-turbo-instruct,irony,free,0.744
meta-llama/Llama-2-7b-hf,irony,free,0.12
text-davinci-002,irony,free,0.528
google/flan-t5-xl,maxims,free,0.2105263157894736
gpt-3.5-turbo-instruct,maxims,free,0.4947368421052631
meta-llama/Llama-2-7b-hf,maxims,free,0.0526315789473684
text-davinci-002,maxims,free,0.5684210526315789
google/flan-t5-xl,metaphor,free,0.59
gpt-3.5-turbo-instruct,metaphor,free,0.89
meta-llama/Llama-2-7b-hf,metaphor,free,0.1666666666666666
text-davinci-002,metaphor,free,1.0
meta-llama/Llama-2-7b-hf,indirect_speech,free,0.0
meta-llama/Llama-2-7b-hf,humour,free,0.0
google/flan-t5-xl,coherence,rating,0.475
google/flan-t5-xl,deceits,rating,0.05
google/flan-t5-xl,humour,rating,0.24
google/flan-t5-xl,irony,rating,0.48
google/flan-t5-xl,maxims,rating,0.1052631578947368
google/flan-t5-xl,metaphor,rating,0.25
gpt-3.5-turbo-instruct,coherence,rating,0.375
gpt-3.5-turbo-instruct,deceits,rating,0.6
gpt-3.5-turbo-instruct,humour,rating,0.4
gpt-3.5-turbo-instruct,indirect_speech,rating,0.7
gpt-3.5-turbo-instruct,irony,rating,0.44
gpt-3.5-turbo-instruct,maxims,rating,0.4210526315789473
gpt-3.5-turbo-instruct,metaphor,rating,0.7
meta-llama/Llama-2-7b-hf,coherence,rating,0.5
meta-llama/Llama-2-7b-hf,humour,rating,0.24
meta-llama/Llama-2-7b-hf,indirect_speech,rating,0.15
meta-llama/Llama-2-7b-hf,irony,rating,0.36
meta-llama/Llama-2-7b-hf,maxims,rating,0.2105263157894736
meta-llama/Llama-2-7b-hf,metaphor,rating,0.15
text-davinci-002,coherence,rating,0.5
text-davinci-002,deceits,rating,0.45
text-davinci-002,humour,rating,0.56
text-davinci-002,indirect_speech,rating,0.85
text-davinci-002,irony,rating,0.2
text-davinci-002,maxims,rating,0.3157894736842105
text-davinci-002,metaphor,rating,0.6
google/flan-t5-xl,indirect_speech,rating,0.0
meta-llama/Llama-2-7b-hf,deceits,rating,0.0
google/flan-t5-xl,coherence,human,0.8566844919786096
google/flan-t5-xl,deceits,human,0.8419786096256684
google/flan-t5-xl,humour,human,0.8468449197860962
google/flan-t5-xl,indirect_speech,human,0.8859625668449198
google/flan-t5-xl,irony,human,0.9194652406417112
google/flan-t5-xl,maxims,human,0.7958556149732621
google/flan-t5-xl,metaphor,human,0.8967914438502674
gpt-3.5-turbo-instruct,coherence,human,0.8566844919786096
gpt-3.5-turbo-instruct,deceits,human,0.8419786096256684
gpt-3.5-turbo-instruct,humour,human,0.8468449197860962
gpt-3.5-turbo-instruct,indirect_speech,human,0.8859625668449198
gpt-3.5-turbo-instruct,irony,human,0.9194652406417112
gpt-3.5-turbo-instruct,maxims,human,0.7958556149732621
gpt-3.5-turbo-instruct,metaphor,human,0.8967914438502674
meta-llama/Llama-2-7b-hf,coherence,human,0.8566844919786096
meta-llama/Llama-2-7b-hf,deceits,human,0.8419786096256684
meta-llama/Llama-2-7b-hf,humour,human,0.8468449197860962
meta-llama/Llama-2-7b-hf,indirect_speech,human,0.8859625668449198
meta-llama/Llama-2-7b-hf,irony,human,0.9194652406417112
meta-llama/Llama-2-7b-hf,maxims,human,0.7958556149732621
meta-llama/Llama-2-7b-hf,metaphor,human,0.8967914438502674
text-davinci-002,coherence,human,0.8566844919786096
text-davinci-002,deceits,human,0.8419786096256684
text-davinci-002,humour,human,0.8468449197860962
text-davinci-002,indirect_speech,human,0.8859625668449198
text-davinci-002,irony,human,0.9194652406417112
text-davinci-002,maxims,human,0.7958556149732621
text-davinci-002,metaphor,human,0.8967914438502674
google/flan-t5-xl,coherence,string_score,0.5
google/flan-t5-xl,deceits,string_score,0.6
google/flan-t5-xl,humour,string_score,0.24
google/flan-t5-xl,indirect_speech,string_score,0.15
google/flan-t5-xl,irony,string_score,0.24
google/flan-t5-xl,maxims,string_score,0.1052631578947368
google/flan-t5-xl,metaphor,string_score,0.1
gpt-3.5-turbo-instruct,coherence,string_score,0.475
gpt-3.5-turbo-instruct,deceits,string_score,0.25
gpt-3.5-turbo-instruct,humour,string_score,0.08
gpt-3.5-turbo-instruct,indirect_speech,string_score,0.3
gpt-3.5-turbo-instruct,irony,string_score,0.24
gpt-3.5-turbo-instruct,maxims,string_score,0.2631578947368421
gpt-3.5-turbo-instruct,metaphor,string_score,0.15
meta-llama/Llama-2-7b-hf,coherence,string_score,0.475
meta-llama/Llama-2-7b-hf,deceits,string_score,0.05
meta-llama/Llama-2-7b-hf,humour,string_score,0.16
meta-llama/Llama-2-7b-hf,indirect_speech,string_score,0.15
meta-llama/Llama-2-7b-hf,irony,string_score,0.16
meta-llama/Llama-2-7b-hf,maxims,string_score,0.1578947368421052
meta-llama/Llama-2-7b-hf,metaphor,string_score,0.1
text-davinci-002,coherence,string_score,0.475
text-davinci-002,deceits,string_score,0.3
text-davinci-002,humour,string_score,0.08
text-davinci-002,indirect_speech,string_score,0.05
text-davinci-002,irony,string_score,0.24
text-davinci-002,maxims,string_score,0.4210526315789473
text-davinci-002,metaphor,string_score,0.15
