model_name,metric_formula,phenomenon,metric,dependent_variable
text-davinci-002,mean_sentence_surprisal,indirect_speech,label_score,0.865
text-davinci-002,mean_sentence_surprisal,irony,label_score,0.664
text-davinci-002,mean_sentence_surprisal,maxims,label_score,0.6894736842105263
text-davinci-002,mean_sentence_surprisal,metaphor,label_score,0.76
text-davinci-002,sentence_cond_probs,coherence,label_score,0.6375
text-davinci-002,sentence_cond_probs,deceits,label_score,0.87
text-davinci-002,sentence_cond_probs,humour,label_score,0.404
text-davinci-002,sentence_cond_probs,indirect_speech,label_score,0.865
text-davinci-002,sentence_cond_probs,irony,label_score,0.664
text-davinci-002,sentence_cond_probs,maxims,label_score,0.6894736842105263
text-davinci-002,sentence_cond_probs,metaphor,label_score,0.76
text-davinci-002,sentence_mi,coherence,label_score,0.62
text-davinci-002,sentence_mi,deceits,label_score,0.685
text-davinci-002,sentence_mi,humour,label_score,0.468
text-davinci-002,sentence_mi,indirect_speech,label_score,0.87
text-davinci-002,sentence_mi,irony,label_score,0.58
text-davinci-002,sentence_mi,maxims,label_score,0.6789473684210526
text-davinci-002,sentence_mi,metaphor,label_score,0.725
text-davinci-002,sentence_mi_surprisal,coherence,label_score,0.62
text-davinci-002,sentence_mi_surprisal,deceits,label_score,0.685
text-davinci-002,sentence_mi_surprisal,humour,label_score,0.468
text-davinci-002,sentence_mi_surprisal,indirect_speech,label_score,0.87
text-davinci-002,sentence_mi_surprisal,irony,label_score,0.58
text-davinci-002,sentence_mi_surprisal,maxims,label_score,0.6789473684210526
text-davinci-002,sentence_mi_surprisal,metaphor,label_score,0.725
text-davinci-002,sentence_surprisal,coherence,label_score,0.6375
text-davinci-002,sentence_surprisal,deceits,label_score,0.87
text-davinci-002,sentence_surprisal,humour,label_score,0.404
text-davinci-002,sentence_surprisal,indirect_speech,label_score,0.865
text-davinci-002,sentence_surprisal,irony,label_score,0.664
text-davinci-002,sentence_surprisal,maxims,label_score,0.6894736842105263
text-davinci-002,sentence_surprisal,metaphor,label_score,0.76
